FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS	
221	Comment on Nodule 4	cect4co	text	0			Comment	
222	Comment on Nodule 5	cect5co	text	0			Comment	
223	Comment on Nodule 6	cect6co	text	0			Comment	
224	Comment on Nodule 7	cect7co	text	0			Comment	
225	Comment on Nodule 8	cect8co	text	0			Comment	
226	Comment on Nodule 9	cect9co	text	0			Comment	
227	Comment on Nodule 10	cect10co	text	0			Comment	
228	Pathologic diagnosis. Nodule 1	cect1pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
229	Pathologic diagnosis. Nodule 2	cect2pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
230	Pathologic diagnosis. Nodule 3	cect3pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
231	Pathologic diagnosis. Nodule 4	cect4pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
232	Pathologic diagnosis. Nodule 5	cect5pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
233	Pathologic diagnosis. Nodule 6	cect6pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
234	Pathologic diagnosis. Nodule 7	cect7pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
235	Pathologic diagnosis. Nodule 8	cect8pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
236	Pathologic diagnosis. Nodule 9	cect9pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
237	Pathologic diagnosis. Nodule 10	cect10pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)	
238	Small non-calcified nodules are present	cectancn	checkbox	0		1	Small non-calcified nodules are present	
239	Small calcified nodules are present	cectacn	checkbox	0		1	Small calcified nodules are present	
240	Emphysema	ceem	radio	0		nv;no;mi;mo;se	Not visible;None;Mild;Moderate;Severe	
241	Coronary calcifications	ceccv	radio	0		n;m;d;s	None;Mild;Moderate;Severe	
242	Coronary calcifications. Left Main	cecclm	select-one	1		;no;mi;mo;ex	-;None;Minimal < ⅓;Moderate;Extensive > ⅔	
243	Coronary calcifications. LAD	ceccld	select-one	1		;no;mi;mo;ex	-;None;Minimal < ⅓;Moderate;Extensive > ⅔	
244	Coronary calcifications. Circumflex	cecccf	select-one	1		;no;mi;mo;ex	-;None;Minimal < ⅓;Moderate;Extensive > ⅔	
245	Coronary calcifications. RCA	ceccrc	select-one	1		;no;mi;mo;ex	-;None;Minimal < ⅓;Moderate;Extensive > ⅔	
246	Visual CAC score	cecccac	text	0			Visual CAC score	
247	Pulmonary artery width (mm)	cepaw	text	0			Pulmonary Artery Width	
248	Ascending aorta width (mm)	ceaow	text	0			Ascending Aorta Width	
249	Pulmonary Cysts	cecbc	checkbox	0		y	Yes	
250	Pulmonary Cysts RUL	cecbcl1	checkbox	0		rul		
251	Pulmonary Cysts RML	cecbcl2	checkbox	0		rml		
252	Pulmonary Cysts RLL	cecbcl3	checkbox	0		rll		
253	Pulmonary Cysts LUL	cecbcl4	checkbox	0		lul		
254	Pulmonary Cysts LLL	cecbcl5	checkbox	0		lll		
255	Pulmonary Blebs/Bullae	cecbb	checkbox	0		y	Yes	
256	Pulmonary Blebs/Bullae RUL	cecbbl1	checkbox	0		rul		
257	Pulmonary Blebs/Bullae RML	cecbbl2	checkbox	0		rml		
258	Pulmonary Blebs/Bullae RLL	cecbbl3	checkbox	0		rll		
259	Pulmonary Blebs/Bullae LUL	cecbbl4	checkbox	0		lul		
260	Pulmonary Blebs/Bullae LLL	cecbbl5	checkbox	0		lll		
261	Pulmonary Regional or diffuse consolidation	cerdc	checkbox	0		y	Yes	
262	Pulmonary Regional or diffuse consolidation. RUL	cerdcl1	checkbox	0		rul		
263	Pulmonary Regional or diffuse consolidation.  RML	cerdcl2	checkbox	0		rml		
264	Pulmonary Regional or diffuse consolidation. RLL	cerdcl3	checkbox	0		rll		
265	Pulmonary Regional or diffuse consolidation. LUL	cerdcl4	checkbox	0		lul		
266	Pulmonary Regional or diffuse consolidation. LLL	cerdcl5	checkbox	0		lll		
267	Pulmonary Scarring	cescr	checkbox	0		y	Yes	
268	Pulmonary Regional or diffuse consolidation. RUL	cescrl1	checkbox	0		rul		
269	Pulmonary Regional or diffuse consolidation. RML	cescrl2	checkbox	0		rml		
270	Pulmonary Regional or diffuse consolidation. RLL	cescrl3	checkbox	0		rll		
271	Pulmonary Regional or diffuse consolidation. LUL	cescrl4	checkbox	0		lul		
272	Pulmonary Regional or diffuse consolidation. LLL	cescrl5	checkbox	0		lll		
273	Pulmonary Regional or diffuse consolidation. Unilateral	cescrl6	checkbox	0		au	Unilateral	
274	Pulmonary Regional or diffuse consolidation. Bilateral	cescrl7	checkbox	0		ab	Bilateral	
275	Pulmonary Bronchiectasis	cebrsb	checkbox	0		y	Yes	
276	Pulmonary Bronchiectasis. RUL	cebrsbl1	checkbox	0		rul		
277	Pulmonary Bronchiectasis. RML	cebrsbl2	checkbox	0		rml		
278	Pulmonary Bronchiectasis. RLL	cebrsbl3	checkbox	0		rll		
279	Pulmonary Bronchiectasis. LUL	cebrsbl4	checkbox	0		lul		
280	Pulmonary Bronchiectasis. LLL	cebrsbl5	checkbox	0		lll		
281	Pulmonary Small airways disease	cebrss	checkbox	0		y	Yes	
282	Pulmonary Small airways disease. RUL	cebrssl1	checkbox	0		rul		
283	Pulmonary Small airways disease. RML	cebrssl2	checkbox	0		rml		
284	Pulmonary Small airways disease. RLL	cebrssl3	checkbox	0		rll		
285	Pulmonary Small airways disease. LUL	cebrssl4	checkbox	0		lul		
286	Pulmonary Small airways disease. LLL	cebrssl5	checkbox	0		lll		
287	Pulmonary Post-surgical findings	cebs	radio	0		n;o;y;e	N/A;Normal;Abnormal;Not visible	
288	Pulmonary Post-surgical findings Right	cebsrt	checkbox	0		r	Right	
289	Pulmonary Post-surgical findings Left	cebslt	checkbox	0		l	Left	
290	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location	cerb	checkbox	0		y	Yes	
291	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location RUL	cerbl1	checkbox	0		rul		
292	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location RML	cerbl2	checkbox	0		rml		
293	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location RLL	cerbl3	checkbox	0		rll		
294	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location LUL	cerbl4	checkbox	0		lul		
295	Interstitial Lung Disease. Traction bronchiectasis in a peripheral location LLL	cerbl5	checkbox	0		lll		
296	Interstitial Lung Disease. Peripheral ground-glass opacities	cepgo	checkbox	0		y	Yes	
297	Interstitial Lung Disease. Peripheral ground-glass opacities RUL	cepgol1	checkbox	0		rul		
298	Interstitial Lung Disease. Peripheral ground-glass opacities RML	cepgol2	checkbox	0		rml		
299	Interstitial Lung Disease. Peripheral ground-glass opacities RLL	cepgol3	checkbox	0		rll		
300	Interstitial Lung Disease. Peripheral ground-glass opacities LUL	cepgol4	checkbox	0		lul		
301	Interstitial Lung Disease. Peripheral ground-glass opacities LLL	cepgol5	checkbox	0		lll		
302	Interstitial Lung Disease. Reticulations	ceret	checkbox	0		y	Yes	
303	Interstitial Lung Disease. Reticulations RUL	ceretl1	checkbox	0		rul		
304	Interstitial Lung Disease. Reticulations RML	ceretl2	checkbox	0		rml		
305	Interstitial Lung Disease. Reticulations RLL	ceretl3	checkbox	0		rll		
306	Interstitial Lung Disease. Reticulations LUL	ceretl4	checkbox	0		lul		
307	Interstitial Lung Disease. Reticulations LLL	ceretl5	checkbox	0		lll		
308	Interstitial Lung Disease. Honeycombing	cephc	checkbox	0		y	Yes	
309	Interstitial Lung Disease. Honeycombing RUL	cephcl1	checkbox	0		rul		
310	Interstitial Lung Disease. Honeycombing RML	cephcl2	checkbox	0		rml		
311	Interstitial Lung Disease. Honeycombing RLL	cephcl3	checkbox	0		rll		
312	Interstitial Lung Disease. Honeycombing LUL	cephcl4	checkbox	0		lul		
313	Interstitial Lung Disease. Honeycombing LLL	cephcl5	checkbox	0		lll		
314	Additional comments on pulmonary abnormalities	ceoppa	textarea	0			Additional comments on pulmonary abnormalities	
315	Additional comments on pulmonary abnormalities. Include on Impression.	ceoppai	checkbox	0		y	Include in impression	
316	Pleural or pleural-related. Pleural thickening/plaques	cept	checkbox	0		y	Yes	
317	Pleural or pleural-related. Pleural thickening/plaques. Right	ceptrt	checkbox	0		r	Right	
318	Pleural or pleural-related. Pleural thickening/plaques. Left	ceptlt	checkbox	0		l	Left	
319	Pleural or pleural-related. Pleural thickening/plaques. Calcification	ceptct	checkbox	0		c	Calcification	
320	Pleural or pleural-related. Rounded atelectasis	cebatr	checkbox	0		y	Yes	
321	Pleural or pleural-related. Rounded atelectasis. RUL	cebatrl1	checkbox	0		rul		
322	Pleural or pleural-related. Rounded atelectasis. RML	cebatrl2	checkbox	0		rml		
323	Pleural or pleural-related. Rounded atelectasis. RLL	cebatrl3	checkbox	0		rll		
324	Pleural or pleural-related. Rounded atelectasis. LUL	cebatrl4	checkbox	0		lul		
325	Pleural or pleural-related. Rounded atelectasis. LLL	cebatrl5	checkbox	0		lll		
326	Pleural or pleural-related. Pleural effusion	cepev	checkbox	0		y	Yes	
327	Pleural or pleural-related. Pleural effusion. Right	ceper	select-one	1		-;no;sm;mo;lg	-;None;Small;Moderate;Large	
328	Pleural or pleural-related. Pleural effusion. Left	cepel	select-one	1		-;no;sm;mo;lg	-;None;Small;Moderate;Large	
329	Pleural or pleural-related. Pleural tumor.	cepu	checkbox	0		y	Yes	
330	Additional comments on pleural abnormalities	ceoppab	textarea	0			Additional comments on pleural abnormalities	
331	Additional comments on pleural abnormalities. Include on impression.	ceoppabi	checkbox	0		y	Include in impression	
332	Cardiac and Aoritic abnormalities. Aortic calcifications	cecca	select-one	0		-;no;mi;mo;ex	-;None;Minimal < ⅓;Moderate;Extensive > ⅔	
333	Cardiac and Aoritic abnormalities. Pericardial effusion severity 	ceprevm	select-one	0		-;no;mi;mo;ex	-;None;Minimal;Moderate;Extensive	
334	Cardiac and Aoritic abnormalities. Additional comments on cardiac abnormalities	cecommca	textarea	0			Additional comments on cardiac abnormalities	
335	Cardiac and Aoritic abnormalities. Additional comments on cardiac abnormalities. Include on impression	cecommcai	checkbox	0		y	Include in impression	
336	Neck and mediastinal abnormalities. Thyroid	ceata	checkbox	0		y	Yes	
337	Neck and mediastinal abnormalities. Thyroid calcification.	ceatc	checkbox	0		c	Calcification	
338	Neck and mediastinal abnormalities. Thyroid Cyst/nodule < 15 mm	ceaty	checkbox	0		y	Cyst/nodule < 15 mm	
339	Neck and mediastinal abnormalities. Thyroid Mass 	ceatm	checkbox	0		m	Mass	
340	Neck and mediastinal abnormalities. Thyroid Other	ceato	checkbox	0		o	Other	
341	Neck and mediastinal abnormalities.  Throid Specifiy	ceatos	text	1			Specify	
342	Neck and mediastinal abnormalities.  Thymus	ceaya	checkbox	0		y	Yes	
343	Neck and mediastinal abnormalities.  Thymus calcification.	ceayc	checkbox	0		c	Calcification	
344	Neck and mediastinal abnormalities.  Thymus Cyst	ceayy	checkbox	0		y	Cyst	
345	Neck and mediastinal abnormalities.  Thymus Mass	ceaym	checkbox	0		m	Mass	
346	Neck and mediastinal abnormalities.  Thymus. Other	ceayo	checkbox	0		o	Other	
347	Neck and mediastinal abnormalities.  Thymus Speicfy	ceayos	text	1			Specify	
348	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes.	cemln	checkbox	0		y	Yes	
349	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N1: Low cervical; supraclavicular; and sternal notch nodes	cemlnl1	checkbox	0		N1	"N1: Low cervical, supraclavicular, and sternal notch nodes"	
350	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N2R: Upper paratracheal (right)	cemlnl2r	checkbox	0		N2R	N2R: Upper paratracheal (right)	
351	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N2L: Upper paratracheal (left)	cemlnl2l	checkbox	0		N2L	N2L: Upper paratracheal (left)	
352	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N3A: Prevascular	cemlnl3a	checkbox	0		N3A	N3A: Prevascular	
353	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes N3P: Retrotracheal	cemlnl3p	checkbox	0		N3P	N3P: Retrotracheal	
354	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N4R: Lower paratracheal (right)	cemlnl4r	checkbox	0		N4R	N4R: Lower paratracheal (right)	
355	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N4L: Lower paratracheal (left)	cemlnl4l	checkbox	0		N4L	N4L: Lower paratracheal (left)	
356	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N5: Subaortic	cemlnl5	checkbox	0		N5	N5: Subaortic	
357	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N6: Para-aortic (ascending aorta or phrenic)	cemlnl6	checkbox	0		N6	N6: Para-aortic (ascending aorta or phrenic)	
358	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N7: Subcarinal	cemlnl7	checkbox	0		N7	N7: Subcarinal	
359	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N8: Paraesophageal (below carina)	cemlnl8	checkbox	0		N8	N8: Paraesophageal (below carina)	
360	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N9: Pulmonary ligament	cemlnl9	checkbox	0		N9	N9: Pulmonary ligament	
361	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N10: Hilar	cemlnl10	checkbox	0		N10	N10: Hilar	
362	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N11: Interlobar	cemlnl11	checkbox	0		N11	N11: Interlobar	
363	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N12: Lobar	cemlnl12	checkbox	0		N12	N12: Lobar	
364	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N13: Segmental	cemlnl13	checkbox	0		N13	N13: Segmental	
365	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any enlarged or growing hilar or mediastinal lymph nodes. N14: Subsegmental	cemlnl14	checkbox	0		N14	N14: Subsegmental	
366	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Any calcified hilar or mediastinal lymph nodes	cemlncab	checkbox	0		y	Yes	
367	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Abnormal axillary lymph nodes.	ceagaln	checkbox	0		y	Yes	
368	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Abnormal axillary lymph nodes. Right	ceagalnrt	checkbox	0		r	Right	
369	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Abnormal axillary lymph nodes. Left	ceagalnlt	checkbox	0		l	Left	
370	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Abnormal axillary lymph nodes. Specify	ceagalns	text	1			Specify	
371	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Other Vascular Abnormalities	cemva	checkbox	0		y	Yes	
372	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Other Vascular Abnormalities. Aorta	cemvaa	checkbox	0		a	Aorta	
373	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Other Vascular Abnormalities. Pulmonary arteries	cemvap	checkbox	0		w	Pulmonary arteries	
374	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Other Vascular Abnormalities. Other.	cemvao	checkbox	0		o	Other	
375	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Other Vascular Abnormalities. Speicify	cemvaos	text	1			Specify	
376	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal	cemeln	checkbox	0		y	Yes	
377	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal Air-fluid level	cemelna	checkbox	0		a	Air-fluid level	
378	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal Wall thickening	cemelnw	checkbox	0		w	Wall thickening	
379	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Mass	cemelnm	checkbox	0		m	Mass	
380	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other	cemvlno	checkbox	0		o	Other	
381	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other Specify	cemelnos	text	1			Specify	
382	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Hiatal hernia	cehhn	checkbox	0		y	Yes	
383	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Hiatal hernia. Other Specify	cehhnos	text	1			Specify	
384	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. 	ceomm	checkbox	0		y	Yes	
385	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. Calcification	ceamc	checkbox	0		v	Calcification	
386	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. Cyst	ceamy	checkbox	0		y	Cyst	
387	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. Mass	ceamm	checkbox	0		m	Mass	
388	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. Other	ceamo	checkbox	0		o	Other	
389	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Other mediastinal masses. Other specify	ceommos	text	1			Specify	
390	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Additional comments on neck and mediastinal abnormalities	ceotabnm	textarea	0			Additional comments on neck and mediastinal abnormalities	
391	Neck and mediastinal abnormalities. Lymph Nodes (w/o central fat). Esophogeal. Additional comments on neck and mediastinal abnormalities. Other Specify	ceotabnmi	checkbox	0		y	Include in impression	
392	Breast. Right breast	ceara	checkbox	0		y	Yes	
393	Breast. Right breast. Calcification	ceobarc	checkbox	0		c	Calcification	
394	Breast. Right breast. Cyst	ceobary	checkbox	0		y	Cyst	
395	Breast. Right breast. Mass	ceobarm	checkbox	0		m	Mass	
396	Breast. Right breast. Other	ceobaro	checkbox	0		o	Other	
397	Breast. Right breast. Other Specify.	ceobaros	text	1			Specify	
398	Breast. Right breast. Density Calibration (BIORADS)	ceobard	select-one	0		-;1;2;3;4	-;1 - Almost entirely fatty;2 - Scattered areas of fibroglandular density;3 - Heterogeneously dense;4 - Extremely dense	
399	Breast. Left breast	ceafa	checkbox	0		y	Yes	
400	Breast. Left breast. Calcification	ceobafc	checkbox	0		c	Calcification	
401	Breast. Left breast. Cyst	ceobafy	checkbox	0		y	Cyst	
402	Breast. Left breast. Mass	ceobafm	checkbox	0		m	Mass	
403	Breast. Left breast. Other	ceobafo	checkbox	0		o	Other	
404	Breast. Left breast. Other Specify.	ceobafos	text	1			Specify	
405	Breast. Left breast. Density Calibration (BIORADS)	ceobald	select-one	0		-;1;2;3;4	-;1 - Almost entirely fatty;2 - Scattered areas of fibroglandular density;3 - Heterogeneously dense;4 - Extremely dense	
406	Breast.  Additional comments on breast abnormalities	ceobrc	textarea	0			Additional comments on breast abnormalities	
407	Breast.  Additional comments on breast abnormalities. Include in impression.	ceobrci	checkbox	0		y	Include in impression	
408	Bone. Specify bone abnormalities	ceaoabb	textarea	0			Specify bone abnormalities	
409	Bone. Specify bone abnormalities. Include in impression	ceaoabbi	checkbox	0		y	Include in impression	
410	Abdominal abnormalities.  Gallbladder	ceaga	checkbox	0		y	Yes	
411	Abdominal abnormalities.  Gallbladder. Cholescystectomy	ceagh	checkbox	0		h	Cholecystectomy	
412	Abdominal abnormalities.  Gallbladder. Stones	ceags	checkbox	0		s	Stones	
413	Abdominal abnormalities.  Gallbladder. Sludge	ceagl	checkbox	0		l	Sludge	
414	Abdominal abnormalities.  Gallbladder. Other	ceago	checkbox	0		y	Other	
415	Abdominal abnormalities.  Gallbladder. Other specify.	ceagos	text	1			Specify	
416	Abdominal abnormalities.  Spleen.	ceasa	checkbox	0		y	Yes	
417	Abdominal abnormalities.  Spleen. Calcification	ceasc	checkbox	0		y	Calcification	
418	Abdominal abnormalities.  Spleen. Cyst	ceasy	checkbox	0		y	Cyst	
419	Abdominal abnormalities.  Spleen. Mass	ceasm	checkbox	0		m	Mass	
420	Abdominal abnormalities.  Spleen. Other.	ceaso	checkbox	0		y	Other	
421	Abdominal abnormalities.  Spleen. Other specify	ceasos	text	1			Specify	
422	Abdominal abnormalities.  Liver.	ceala	checkbox	0		y	Yes	
423	Abdominal abnormalities.  Liver. Calcification	cealc	checkbox	0		y	Calcification	
424	Abdominal abnormalities.  Liver. Cyst	cealy	checkbox	0		y	Cyst	
425	Abdominal abnormalities.  Liver. Mass	cealm	checkbox	0		m	Mass	
426	Abdominal abnormalities.  Liver. HU < 40	cealh	checkbox	0		h	HU < 40	
427	Abdominal abnormalities.  Liver. Other.	cealo	checkbox	0		y	Other	
428	Abdominal abnormalities.  Liver. Other specify.	cealos	text	1			Specify	
429	Abdominal abnormalities.  Pancreas.	ceapa	checkbox	0		y	Yes	
430	Abdominal abnormalities.  Pancreas. Calcification	ceapc	checkbox	0		y	Calcification	
431	Abdominal abnormalities.  Pancreas. Cyst	ceapy	checkbox	0		y	Cyst	
432	Abdominal abnormalities.  Pancreas. Mass	ceapm	checkbox	0		m	Mass	
433	Abdominal abnormalities.  Pancreas. Other	ceapo	checkbox	0		y	Other	
434	Abdominal abnormalities.  Pancreas. Other specify	ceapos	text	1			Specify	
435	Abdominal abnormalities.  Adrenals.	ceaaa	checkbox	0		y	Yes	
436	Abdominal abnormalities.  Adrenals. Calcification	ceaac	checkbox	0		y	Calcification	
437	Abdominal abnormalities.  Adrenals. Cyst	ceaay	checkbox	0		y	Cyst	
438	Abdominal abnormalities.  Adrenals. Mass	ceaam	checkbox	0		m	Mass	
439	Abdominal abnormalities.  Adrenals. Other	ceaao	checkbox	0		y	Other	
440	Abdominal abnormalities.  Adrenals. Other specify	ceaaos	text	1			Specify	
441	Abdominal abnormalities.  Kidney.	ceaka	checkbox	0		y	Yes	
442	Abdominal abnormalities.  Kidney. Calcification	ceakc	checkbox	0		y	Calcification	
443	Abdominal abnormalities.  Kidney. Cyst	ceaky	checkbox	0		y	Cyst	
444	Abdominal abnormalities.  Kidney. Mass	ceakm	checkbox	0		m	Mass	
445	Abdominal abnormalities.  Kidney. Other	ceako	checkbox	0		y	Other	
446	Abdominal abnormalities.  Kidney. Other specify	ceakos	text	1			Specify	
447	Additional comments on abdominal abnormalities	ceaoab	textarea	0			Additional comments on abdominal abnormalities	
448	Additional comments on abdominal abnormalities. Include in impression.	ceaoabi	checkbox	0		y	Include in impression	
449	Nodules.	ceimn	radio	0		rs;ro;ru;nf	"No evidence of nodules. Follow-up as recommended.;Nodule(s) as described. Consistent with old granulomatous disease. Follow-up as recommended.;Nodule(s) unchanged, as described. Follow-up as recommended.;Nodule(s) as described. Follow-up as recommended."	
450	Other Findings	ceimo	radio	0		no;oa	No other significant abnormalities.;Other abnormalities and suggested follow-up as described above.	
451	Impression remarks	ceimre	textarea	0				
452	Follow-up approach	cefpa	radio	1		lr;el	Lung-RADS;I-ELCAP	
453	Follow-up 1 year	cefuw	radio	0		1y;nw;1m;3m;6m;os	Annual repeat;Now;1 month;3 months;6 months;Other	
454	Follow-up Approximate follow-up date	cefud	text	0			Approximate follow-up date:	
455	Other follow-up. Antibiotics	cefuaf	checkbox	0		y	Antibiotics	
456	Other follow-up. Contrast CT	cefucc	checkbox	0		y	Contrast CT	
457	Other follow-up. PET	cefupe	checkbox	0		y	PET	
458	Other follow-up Percutaneous biopsy	cefufn	checkbox	0		y	Percutaneous biopsy	
459	Other follow-up Bronchoscopy	cefubr	checkbox	0		y	Bronchoscopy	
460	Other follow-up Pulmonary consultation	cefupc	checkbox	0		y	Pulmonary consultation	
461	Other follow-up Refer to tumor board	cefutb	checkbox	0		y	Refer to tumor board	
462	Other follow-up No other follow-up	cefunf	checkbox	0		y	No other further follow-up	
463	Other follow-up Other	cefuo	checkbox	1		y	Other	
464	Other follow-up Other : Specify	cefuoo	text	1	Specify		Specify	
