FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
230	Pathologic diagnosis. Nodule 1	cect1pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
231	Pathologic diagnosis. Nodule 2	cect2pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
232	Pathologic diagnosis. Nodule 3	cect3pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
233	Pathologic diagnosis. Nodule 4	cect4pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
234	Pathologic diagnosis. Nodule 5	cect5pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
235	Pathologic diagnosis. Nodule 6	cect6pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
236	Pathologic diagnosis. Nodule 7	cect7pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
237	Pathologic diagnosis. Nodule 8	cect8pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
238	Pathologic diagnosis. Nodule 9	cect9pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
239	Pathologic diagnosis. Nodule 10	cect10pd	select-one	0		-;aa;ap;ai;mi;ns;ad;as;la;sq;sm;ct;ca;be;bs;os	-For Pathology Use Only-;AAH;Atyp bronch prolif;AIS;MIA;Unspec. non-small cell;Adenocarcinoma;Adenosquamous;Large cell;Squamous cell;Small cell;Carcinoid - typical;Carcinoid - atypical;Not malignant;Benign specific;Other (specify)
240	Small non-calcified nodules are present	cectancn	checkbox	0		1	Small non-calcified nodules are present
241	Small calcified nodules are present	cectacn	checkbox	0		1	Small calcified nodules are present
242	Lung-RADS	celrad	radio	1		-;0;1;2;3;4A;4B;4X	Not applicable;0 (incomplete);1 (negative);2 (benign appearance or behavior);3 (probably benign);4A (suspicious);4B (suspicious);4X (suspicious)
243	Lung-RADS Modifiers.  Clinically significant or potentially clinically significant findings (non lung cancer)	celrads	checkbox	0		S	S - clinically significant or potentially clinically significant findings (non lung cancer)
244	Lung-RADS Modifiers.  Prior diagnosis of lung cancer who return to screening	celradc	checkbox	0		C	C - prior diagnosis of lung cancer who return to screening
245	PET details - lung and nodules	ptpdt	textarea	0			PET details - lung and nodules
246	PET details - lymph nodes	ptpdtln	textarea	0			PET details - lymph nodes
247	Other clinically significant ancillary finding	ceaf	radio	0		n;yes	No;Yes
248	Organ/Location 1	ceafl1	select-one	0		-;b;a;h;n	-;Breast;Abdomen;Head;Neck
249	Organ/Location 1 describe	ceafo1	text	0			Describe
250	Organ/Location 2	ceafl2	select-one	0		-;b;a;h;n	-;Breast;Abdomen;Head;Neck
251	Organ/Location 2 describe	ceafo2	text	0			Describe
252	Comments	ceafmc	textarea	0			Comments
253	Other findings	ceofo	textarea	0			Any other findings
254	Follow-up	cefu	select-one	0		-;rs;dx;af;pe;cc;fn;br;va;su	-;Annual repeat CT;Follow-up CT;Abx + follow-up CT;PET;CT w contrast;CT-guided biopsy;Bronchoscopy;VAT;Resection
255	Follow-up date	cefud	text	0			When
256	Next follow-up	cefuw	radio	0		nw;1m;3m;6m;1y;os	Now;1 month;3 months;6 months;1 year;Other
257	Nodule impression	ceimn	radio			rs;ro;ru	"No evidence of abnormal uptake. Follow-up as recommended above.;Uptake as described above. Follow-up as recommended above.;Nodule(s) unchanged, as described above. Follow-up as recommended above."
258	Nodule - other findings	ceimo	radio			rs;oa;da	No other abnormalities.;Other abnormalities and suggested follow-up as described above.;Diffuse abnormalities.
259	Impression remarks	ceimre	textarea	0			Impression remarks
